,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
0,Tata,Nano Genx,Xt,Tata Nano Genx Xt,292667,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,Yes,Manual Air conditioning with cooling and heating,,,
1,Tata,Nano Genx,Xe,Tata Nano Genx Xe,236447,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,,,,,
3,Tata,Nano Genx,Xta,Tata Nano Genx Xta,334768,624 cc,2.0,RWD (Rear Wheel Drive),21.9,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Automatic,2230 mm,Yes,Manual Air conditioning with cooling and heating,,,
4,Tata,Nano Genx,Xm,Tata Nano Genx Xm,272223,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,,Air Conditioning with cooling only,,,
5,Tata,Nano Genx,Xma,Tata Nano Genx Xma,314815,624 cc,2.0,RWD (Rear Wheel Drive),21.9,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Automatic,2230 mm,,Air Conditioning with cooling only,,,
6,Datsun,Redi-Go,D,Datsun Redi-Go D,279650,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Yes,,,
7,Datsun,Redi-Go,T,Datsun Redi-Go T,351832,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,,
8,Datsun,Redi-Go,A,Datsun Redi-Go A,333419,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,,
9,Datsun,Redi-Go,S,Datsun Redi-Go S,362000,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,Rear sensors,
10,Datsun,Redi-Go,1.0 S,Datsun Redi-Go 1.0 S,390000,999 cc,3.0,FWD (Front Wheel Drive),22.5,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2348 mm,,Air Conditioning with cooling only,,,
11,Datsun,Redi-Go,1.0 S Amt,Datsun Redi-Go 1.0 S Amt,437065,999 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2348 mm,,Manual Air conditioning with cooling and heating,,Rear sensors,
12,Renault,Kwid,Rxe 0.8,Renault Kwid Rxe 0.8,353290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,
13,Renault,Kwid,Std 0.8,Renault Kwid Std 0.8,283290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2442 mm,,Heater,1.0,,
14,Renault,Kwid,Rxl 0.8,Renault Kwid Rxl 0.8,383290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,
15,Renault,Kwid,Rxt 0.8,Renault Kwid Rxt 0.8,413290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,Touch Sensitive
16,Renault,Kwid,Rxt 1.0,Renault Kwid Rxt 1.0,433290,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
17,Renault,Kwid,Climber 1.0 Mt,Renault Kwid Climber 1.0 Mt,454490,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
18,Renault,Kwid,Rxt Amt 1.0,Renault Kwid Rxt Amt 1.0,463290,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
19,Renault,Kwid,Climber Amt 1.0,Renault Kwid Climber Amt 1.0,484490,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
20,Renault,Kwid,Rxt (O) 1.0,Renault Kwid Rxt (O) 1.0,440990,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
21,Renault,Kwid,Rxt (O) Amt 1.0,Renault Kwid Rxt (O) Amt 1.0,470990,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
22,Renault,Kwid,Climber (O) Mt 1.0,Renault Kwid Climber (O) Mt 1.0,462190,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
23,Renault,Kwid,Climber (O) Amt 1.0,Renault Kwid Climber (O) Amt 1.0,492190,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
24,Maruti Suzuki,Eeco,5 Str,Maruti Suzuki Eeco 5 Str,352136,1196 cc,4.0,RWD (Rear Wheel Drive),15.0,Injection,Petrol,MPV,5.0,73PS@6000rpm,101Nm@3000rpm,5.0,Fabric,Manual,2350 mm,,,1.0,Rear sensors,
