,make,model,variant,car,price,displacement,cylinders,drivetrain,mileage,fuel_system,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,seat_material,type,wheelbase,bts,cluster
0,Tata,Nano Genx,Xt,Tata Nano Genx Xt,292667,624,2,RWD (Rear Wheel Drive),23.6,Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,37.48,51,4,Fabric,Manual,2230,Hat,1
1,Tata,Nano Genx,Xe,Tata Nano Genx Xe,236447,624,2,RWD (Rear Wheel Drive),23.6,Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,37.48,51,4,Fabric,Manual,2230,Hat,1
2,Tata,Nano Genx,Xta,Tata Nano Genx Xta,334768,624,2,RWD (Rear Wheel Drive),21.9,Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,37.48,51,4,Fabric,Automatic,2230,Hat,1
3,Tata,Nano Genx,Xm,Tata Nano Genx Xm,272223,624,2,RWD (Rear Wheel Drive),23.6,Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,37.48,51,4,Fabric,Manual,2230,Hat,1
4,Tata,Nano Genx,Xma,Tata Nano Genx Xma,314815,624,2,RWD (Rear Wheel Drive),21.9,Injection,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,5,37.48,51,4,Fabric,Automatic,2230,Hat,1
5,Datsun,Redi-Go,D,Datsun Redi-Go D,279650,799,3,FWD (Front Wheel Drive),25.17,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,53.26,72,5,Fabric,Manual,2348,Hat,1
6,Datsun,Redi-Go,T,Datsun Redi-Go T,351832,799,3,FWD (Front Wheel Drive),25.17,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,53.26,72,5,Fabric,Manual,2348,Hat,1
7,Datsun,Redi-Go,A,Datsun Redi-Go A,333419,799,3,FWD (Front Wheel Drive),25.17,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,53.26,72,5,Fabric,Manual,2348,Hat,1
8,Datsun,Redi-Go,S,Datsun Redi-Go S,362000,799,3,FWD (Front Wheel Drive),25.17,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,53.26,72,5,Fabric,Manual,2348,Hat,1
9,Datsun,Redi-Go,1.0 S,Datsun Redi-Go 1.0 S,390000,999,3,FWD (Front Wheel Drive),22.5,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,67.07,91,5,Fabric,Manual,2348,Hat,1
10,Datsun,Redi-Go,1.0 S Amt,Datsun Redi-Go 1.0 S Amt,437065,999,3,FWD (Front Wheel Drive),23.0,Injection,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,5,67.07,91,5,Fabric,Automatic,2348,Hat,1
