car,displacement,cylinders,mileage,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,wheelbase,price,bts
Tata Nano Genx Xt,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,292667,Hat
Tata Nano Genx Xe,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,236447,Hat
Tata Nano Genx Xta,624,2,21.9,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,334768,Hat
Tata Nano Genx Xm,624,2,23.6,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,272223,Hat
Tata Nano Genx Xma,624,2,21.9,24.0,1,1652.0,3164.0,1750.0,1,5,37.48,51,4,2230,314815,Hat
Datsun Redi-Go D,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,279650,Hat
Datsun Redi-Go T,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,351832,Hat
Datsun Redi-Go A,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,333419,Hat
Datsun Redi-Go S,799,3,25.17,28.0,1,1541.0,3429.0,1560.0,1,5,53.26,72,5,2348,362000,Hat
Datsun Redi-Go 1.0 S,999,3,22.5,28.0,1,1541.0,3429.0,1560.0,1,5,67.07,91,5,2348,390000,Hat
Datsun Redi-Go 1.0 S Amt,999,3,23.0,28.0,1,1541.0,3429.0,1560.0,1,5,67.07,91,5,2348,437065,Hat
Renault Kwid Rxe 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2422,353290,Hat
Renault Kwid Std 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2442,283290,Hat
Renault Kwid Rxl 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1579.0,1,5,53.26,72,5,2422,383290,Hat
Renault Kwid Rxt 0.8,799,3,25.17,28.0,1,1490.0,3731.0,1580.0,1,5,53.26,72,5,2422,413290,Hat
Renault Kwid Rxt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,433290,Hat
Renault Kwid Climber 1.0 Mt,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,454490,Hat
Renault Kwid Rxt Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,463290,Hat
Renault Kwid Climber Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,484490,Hat
Renault Kwid Rxt (O) 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,440990,Hat
Renault Kwid Rxt (O) Amt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,470990,Hat
Renault Kwid Climber (O) Mt 1.0,999,3,23.01,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,462190,Hat
Renault Kwid Climber (O) Amt 1.0,999,3,24.04,28.0,1,1490.0,3731.0,1579.0,1,5,67.07,91,5,2422,492190,Hat
Maruti Suzuki Eeco 5 Str,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.0,101,5,2350,352136,MPV
Maruti Suzuki Eeco 7 Str,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.99,101,7,2350,380573,MPV
Maruti Suzuki Eeco 5 Str With Ac+Htr,1196,4,15.0,40.0,1,1800.0,3675.0,1475.0,2,5,72.0,101,5,2350,392967,MPV
Maruti Suzuki Alto K10 Lxi,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,377588,Hat
Maruti Suzuki Alto K10 Vxi,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,394036,Hat
Maruti Suzuki Alto K10 Lx,998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,360843,Hat
Maruti Suzuki Alto K10 Vxi (O),998,3,24.07,35.0,1,1460.0,3620.0,1475.0,1,5,67.07,90,5,2360,407238,Hat
Maruti Suzuki Alto K10 Vxi Amt (O),998,3,24.07,35.0,1,1475.0,3545.0,1490.0,1,5,67.07,90,5,2360,438559,Hat
Datsun Go D,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,374990,Hat
Datsun Go T,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,468229,Hat
Datsun Go T (O),1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,502492,Hat
Datsun Go A (O),1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,499990,Hat
Datsun Go A,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,469990,Hat
Datsun Go T Vdc,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,528464,Hat
Datsun Go T (O) Vdc,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,67.07,104,5,2450,553015,Hat
Datsun Go T Cvt,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,76.93,104,5,2450,594464,Hat
Datsun Go T (O) Cvt,1198,3,20.1,35.0,1,1507.0,3788.0,1636.0,1,5,76.93,104,5,2450,618015,Hat
Maruti Suzuki Celerio Tour H2,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,422444,Hat
Hyundai Santro Era Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,429990,Hat
Hyundai Santro Magna Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,503990,Hat
Hyundai Santro Magna Amt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,530990,Hat
Hyundai Santro Sportz Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,512990,Hat
Hyundai Santro Sportz Amt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,10,5,2400,570990,Hat
Hyundai Santro Asta Mt,1086,4,20.3,35.0,1,1560.0,3610.0,1645.0,1,4,68.06,99,5,2400,556490,Hat
Tata Tiago Revotron Xe,1199,3,23.0,35.0,1,1535.0,3765.0,1677.0,1,5,84.82,114,5,2400,460000,Hat
Tata Tiago Revotron Xt,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,520000,Hat
Tata Tiago Revotron Xz,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,570000,Hat
Tata Tiago Revotron Xz Plus,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,599000,Hat
Tata Tiago Revotron Xz Plus Dual Tone,1199,3,23.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,610000,Hat
Tata Tiago Revotron Xza,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,620000,Hat
Tata Tiago Revotron Xza Plus,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,649000,Hat
Tata Tiago Revotron Xza Plus Dual Tone,1199,3,24.0,35.0,1,1535.0,3746.0,1647.0,1,5,84.82,114,5,2400,660000,Hat
Maruti Suzuki Celerio X Vxi (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,481074,Hat
Maruti Suzuki Celerio X Vxi,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,475198,Hat
Maruti Suzuki Celerio X Vxi Amt,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,518198,Hat
Maruti Suzuki Celerio X Vxi Amt (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,524074,Hat
Maruti Suzuki Celerio X Zxi,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,499734,Hat
Maruti Suzuki Celerio X Zxi (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,540350,Hat
Maruti Suzuki Celerio X Zxi Amt,998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,542735,Hat
Maruti Suzuki Celerio X Zxi Amt (O),998,3,23.1,35.0,1,1560.0,3600.0,1600.0,1,5,67.07,90,5,2425,552350,Hat
Maruti Suzuki Ignis Alpha 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,713898,Hat
Maruti Suzuki Ignis Alpha 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,666898,Hat
Maruti Suzuki Ignis Delta 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,607841,Hat
Maruti Suzuki Ignis Delta 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,560841,Hat
Maruti Suzuki Ignis Sigma 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,483320,Hat
Maruti Suzuki Ignis Zeta 1.2 Amt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,630320,Hat
Maruti Suzuki Ignis Zeta 1.2 Mt,1197,4,20.89,32.0,1,1595.0,3700.0,1690.0,1,5,81.86,113,5,2435,583320,Hat
Renault Triber Rxe,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,495000,MUV
Renault Triber Rxl,999,3,20.5,40.0,1,1643.0,3990.0,1739.0,3,5,71.02,96,7,2636,559000,MUV
